MatterID,Status,CaseSequenceNumber
22206721,Open,16-2022-SC-020510-INSX-MA
22206750,Open,16-2022-SC-021172-INSX-MA
22206767,Open,16-2022-SC-021119-INSX-MA
22206855,Open,3:22-cv-01194-MMH-MCR
22206894,Open,16-2022-SC-021026-INSX-MA
22206916,Open,16-2022-SC-021054-INSX-MA
22206917,Open,16-2022-SC-021008-INSX-MA
22206925J,Open,16-2022-SC-021344-INSX-MA
22206975,Open,16-2022-SC-016649-INSX-MA
22206986,Open,16-2022-SC-012856-INSX-MA
22207050R,Open,16-2022-SC-021730-INSX-MA
22207095,Open,16-2022-SC-022380-INSX-MA
22207096,Open,16-2022-SC-021758-INSX-MA
22207097,Open,16-2022-SC-022461-INSX-MA
22207221,Open,16-2022-SC-022665-INSX-MA
22207231,Open,16-2022-SC-021540-INSX-MA
22207342,Open,16-2022-SC-021492-INXS-MA
22207366,Open,16-2022-SC-022066-INSX-MA
22207413,Open,16-2022-CA-006119-XXXX-MA
22207430,Open,16-2022-CA-006159-XXXX-MA
22207519J,Open,16-2022-CA-006235-XXXX-MA
22207597,Open,16-2022-SC-023006-INSX-MA
22207602,Open,16-2022-SC-023400-INSX-MA
22207603,Open,16-2022-SC-023066-INSX-MA
22207605,Open,16-2022-SC-022955-INSX-MA
22207619,Open,16-2022-SC-023534-INSX-MA
22207672,Open,16-2022-CA-006193-XXXX-MA
22207829,Open,16-2022-SC-023219-INSX-MA
22207840,Open,16-2022-SC-023495-INSX-MA
22208010,Open,16-2022-CA-005173-XXXX-MA
22208034,Open,16-2022-SC-023705-INSX-MA
22208063T,Open,16-2022-SC-023678-INSX-MA
22208136J,Open,16-2022-SC-023692-INSX-MA
22208209,Open,16-2022-SC-023891-INSX-MA
22208215T,Open,16-2022-SC-022301-INSX-MA
22208276R,Open,16-2022-SC-007252-INSX-MA
22208410T,Open,16-2022-SC-024388-INSX-MA
22208468,Open,16-2022-SC-024258-INSX-MA
22208470,Open,16-2022-SC-023778-INSX-MA
22208471,Open,16-2022-SC-024097-INSX-MA
22208476,Open,16-2022-SC-023755-INSX-MA
22208477,Open,16-2022-SC-024960-INSX-MA
22208503,Open,16-2022-CA-006800-XXXX-MA
22208509,Open,16-2022-CA-006283
22208698,Open,16-2022-CA-006076-XXXX-MA
22208911,Open,16-2022-CA-006606-XXXX-MA
22208942,Open,16-2022-CA-007070-XXXX-MA
22209081,Open,16-2022-SC-021589-INSX-MA
22209082,Open,16-2022-SC-026321-INSX-MA
22209083,Open,16-2022-SC-026338-INSX-MA
22209084,Open,16-2022-SC-026336-INSX-MA
22209152,Open,16-2022-SC-025386-INSX-MA
22209180,Open,16-2022-CA-007170-XXXX-MA
22300153,Open,16-2022-SC-025305-INSX-MA
22300154,Open,16-2022-SC-025181-INSX-MA
22300155,Open,16-2022-SC-025381-INSX-MA
22300217,Open,16-2022-SC-025864-INSX-MA
22300233,Open,16-2022-SC-017939-INSX-MA
22300399,Open,16-2022-SC-025989-INSX-MA
22300462,Open,16-2020-SC-007147-XXXX-MA
22300481T,Open,16-2022-SC-025964-INSX-MA
22300589,Open,16-2022-CA-007342-XXXX-MA
22300767,Open,16-2023-CA-000253-XXXX-MA
22300829,Open,16-2022-SC-026007-INSX-MA
